"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FF",313,"2016-10-02","97.51     ","-2.351","5.687","Nolan Arenado","571448","501697","Groundout","Ball","201.931   ","1192.696  ","8.4       ","4.4       ","1 ","Nolan Arenado grounds out, shortstop Orlando Arcia to first baseman Chris Carter.  ","R ","R","R","COL","MIL","B",6,4,0,0,2016,"-2.11                 ","5.21                ","-0.435","3.503               ","null","null","null",0,5,"bot","110.3100","149.8800","203526","2016-10-02T20:35:26Z","572180","482608","161002_143530","6.14","-140.912            ","-2.30","-4.33","26.48","-21.43","3.55","1.59","null","null","null","95.69","2260.00","5.05",449290
"FF",314,"2016-10-02","96.99     ","-2.142","5.566","Nolan Arenado","571448","501697","Groundout","In play, out(s)","223.527   ","1363.628  ","17.9      ","4.9       ","8 ","Nolan Arenado grounds out, shortstop Orlando Arcia to first baseman Chris Carter.  ","R ","R","R","COL","MIL","X",6,4,1,0,2016,"-4.46                 ","4.66                ","0.232","2.11                ","null","null","null",0,5,"bot","110.3100","149.8800","203547","2016-10-02T20:35:47Z","572180","482608","161002_143549","8.27","-140.546            ","-5.63","-9.10","26.15","-22.60","3.41","1.59","146","104.1","-2.64               ","96.09","2003.00","5.44",449290
"FT",459,"2016-10-02","93.20     ","-2.356","5.677","Nolan Arenado","571448","430641","Single","In play, no out","233.297   ","1560.384  ","22.5      ","5.8       ","13","Nolan Arenado singles on a line drive to center fielder Hernan Perez.   David Dahl to 2nd.  ","R ","R","R","COL","MIL","X",8,3,0,1,2016,"-6.23                 ","4.6                 ","-0.298","1.317               ","null","null",621311,0,7,"bot","116.9100","86.8100","212128","2016-10-02T21:21:28Z","572180","482608","161002_152127","7.68","-134.892            ","-7.29","-11.63","25.54","-23.50","3.41","1.59","314","106.2","8.45                ","92.80","2268.00","5.90",449290
"FF",458,"2016-10-02","92.19     ","-2.132","5.909","Nolan Arenado","571448","430641","Single","Called Strike","216.315   ","1383.735  ","15.8      ","5.2       ","7 ","Nolan Arenado singles on a line drive to center fielder Hernan Perez.   David Dahl to 2nd.  ","R ","R","R","COL","MIL","S",8,3,0,0,2016,"-4.1                  ","5.54                ","-0.312","2.108               ","null","null",621311,0,7,"bot","116.9100","86.8100","212100","2016-10-02T21:21:00Z","572180","482608","161002_152105","6.26","-133.854            ","-6.00","-7.56","24.37","-21.89","3.53","1.59","null","null","null","91.81","2134.00","5.71",449290
"CU",617,"2016-10-02","80.81     ","-1.037","5.998","Nolan Arenado","571448","592804","Single","Swinging Strike","30.013    ","1648.149  ","-9.2      ","13.0      ","14","Nolan Arenado singles on a soft line drive to center fielder Hernan Perez.  ","R ","R","R","COL","MIL","S",8,3,0,1,2016,"4.77                  ","-8.3                ","1.448","-0.308              ","null","null","null",0,9,"bot","123.5100","87.3200","220448","2016-10-02T22:04:48Z","572180","482608","161002_160447","4.33","-117.2              ","-5.19","6.66","21.17","-43.70","3.41","1.59","null","null","null","80.10","2834.00","5.83",449290
"FF",618,"2016-10-02","95.89     ","-0.781","6.143","Nolan Arenado","571448","592804","Single","In play, no out","180.421   ","1895.977  ","-2.9      ","3.1       ","12","Nolan Arenado singles on a soft line drive to center fielder Hernan Perez.  ","R ","R","R","COL","MIL","X",8,3,0,2,2016,"-0.07                 ","9.08                ","1.058","2.741               ","null","null","null",0,9,"bot","123.5100","87.3200","220509","2016-10-02T22:05:09Z","572180","482608","161002_160510","5.11","-138.924            ","-6.87","-0.13","25.58","-14.02","3.41","1.59","269","70.7","24.45               ","95.71","2392.00","5.91",449290
"FF",616,"2016-10-02","95.02     ","-0.7","6.096","Nolan Arenado","571448","592804","Single","Called Strike","172.331   ","1943.134  ","-11.6     ","3.2       ","14","Nolan Arenado singles on a soft line drive to center fielder Hernan Perez.  ","R ","R","R","COL","MIL","S",8,3,0,0,2016,"1.27                  ","9.36                ","0.783","2.505               ","null","null","null",0,9,"bot","123.5100","87.3200","220425","2016-10-02T22:04:25Z","572180","482608","161002_160430","3.60","-137.594            ","-7.26","2.46","26.66","-13.91","3.49","1.59","null","null","null","95.52","2415.00","6.39",449290
"CU",46,"2016-10-02","80.03     ","-0.738","6.76","Nolan Arenado","571448","572788","Walk","Ball","37.582    ","846.271   ","-6.5      ","11.4      ","14","Nolan Arenado walks.  ","R ","R","R","COL","MIL","B",0,0,0,0,2016,"3.0                   ","-3.96               ","0.553","0.582               ","null","null","null",1,1,"bot","0.0000","0.0000","192318","2016-10-02T19:23:18Z","572180","482608","161002_132323","2.07","-115.887            ","-6.02","4.12","19.71","-37.53","3.40","1.59","null","null","null","79.34","2332.00","5.74",449290
"FF",47,"2016-10-02","91.58     ","-0.976","6.463","Nolan Arenado","571448","572788","Walk","Ball","184.612   ","1754.157  ",".6        ","4.0       ","14","Nolan Arenado walks.  ","R ","R","R","COL","MIL","B",0,0,1,0,2016,"-0.72                 ","8.87                ","1.173","1.99                ","null","null","null",1,1,"bot","0.0000","0.0000","192331","2016-10-02T19:23:31Z","572180","482608","161002_132335","5.89","-132.543            ","-8.66","-1.29","26.23","-16.20","3.43","1.59","null","null","null","91.92","2184.00","6.48",449290
"CH",48,"2016-10-02","82.10     ","-1.664","6.13","Nolan Arenado","571448","572788","Walk","Ball","244.407   ","481.677   ","6.3       ","8.5       ","13","Nolan Arenado walks.  ","R ","R","R","COL","MIL","B",0,0,2,0,2016,"-2.42                 ","1.11                ","-1.437","2.425               ","null","null","null",1,1,"bot","0.0000","0.0000","192347","2016-10-02T19:23:47Z","572180","482608","161002_132351","1.29","-119.023            ","-2.38","-3.56","17.50","-30.47","3.41","1.59","null","null","null","82.51","1414.00","6.11",449290
