"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"SL",80,"2016-10-02","79.76     ","3.297","5.672","Kyle Seager","572122","640455","Strikeout","Called Strike","40.858    ","453.703   ","-.2       ","10.7      ","13","Kyle Seager strikes out swinging.  ","R ","L","L","SEA","OAK","S",0,0,1,1,2016,"1.79                  ","-2.13               ","-0.792","2.408               ","null","null","null",1,2,"bot","0.0000","0.0000","193250","2016-10-02T19:32:50Z","622194","427261","161002_123517","-9.83","-117.113            ","0.25","2.40","29.72","-34.94","3.40","1.45","null","null","null","79.32","2024.00","6.35",449293
"SL",82,"2016-10-02","79.20     ","3.136","5.688","Kyle Seager","572122","640455","Strikeout","Swinging Strike","6.511     ","361.663   ","2.0       ","10.7      ","8 ","Kyle Seager strikes out swinging.  ","R ","L","L","SEA","OAK","S",0,0,2,2,2016,"0.25                  ","-2.21               ","-0.204","1.878               ","null","null","null",1,2,"bot","0.0000","0.0000","193330","2016-10-02T19:33:30Z","622194","427261","161002_123558","-7.67","-116.36             ","-0.96","0.33","26.73","-35.06","3.40","1.45","null","null","null","78.82","1974.00","6.11",449293
"FF",78,"2016-10-02","92.33     ","3.486","5.57","Kyle Seager","572122","640455","Strikeout","Ball","132.716   ","2060.627  ","-31.0     ","5.2       ","12","Kyle Seager strikes out swinging.  ","R ","L","L","SEA","OAK","B",0,0,0,0,2016,"7.82                  ","7.18                ","1.303","3.34                ","null","null","null",1,2,"bot","0.0000","0.0000","193159","2016-10-02T19:31:59Z","622194","427261","161002_123426","-8.46","-135.973            ","-2.31","14.19","38.31","-19.07","3.40","1.45","null","null","null","92.65","1922.00","6.58",449293
"FF",79,"2016-10-02","92.46     ","3.235","5.503","Kyle Seager","572122","640455","Strikeout","Foul","117.410   ","2082.658  ","-30.4     ","6.1       ","11","Kyle Seager strikes out swinging.  ","R ","L","L","SEA","OAK","S",0,0,1,0,2016,"9.56                  ","4.92                ","-0.564","3.854               ","null","null","null",1,2,"bot","0.0000","0.0000","193218","2016-10-02T19:32:18Z","622194","427261","161002_123444","-13.31","-135.555            ","0.03","17.28","37.54","-23.22","3.40","1.45","null","null","null","92.09","1950.00","6.34",449293
"FF",81,"2016-10-02","93.57     ","3.328","5.522","Kyle Seager","572122","640455","Strikeout","Ball","118.183   ","2668.338  ","-42.3     ","6.3       ","12","Kyle Seager strikes out swinging.  ","R ","L","L","SEA","OAK","B",0,0,1,2,2016,"11.98                 ","6.38                ","0.8","2.79                ","null","null","null",1,2,"bot","0.0000","0.0000","193307","2016-10-02T19:33:07Z","622194","427261","161002_123535","-10.93","-137.423            ","-3.56","22.28","38.20","-20.24","3.47","1.45","null","null","null","93.01","1981.00","6.16",449293
"FF",245,"2016-10-02","92.56     ","3.18","5.485","Kyle Seager","572122","640455","Groundout","Foul","114.994   ","2238.152  ","-33.3     ","6.3       ","11","Kyle Seager grounds out, third baseman Ryon Healy to first baseman Yonder Alonso.  ","R ","L","L","SEA","OAK","S",5,4,1,1,2016,"10.42                 ","4.82                ","-0.506","3.491               ","null","null","null",2,4,"bot","108.1100","152.9300","201617","2016-10-02T20:16:17Z","622194","427261","161002_131846","-13.36","-135.712            ","-0.89","18.98","36.16","-23.33","3.40","1.45","null","null","null","92.54","1958.00","6.42",449293
"CH",246,"2016-10-02","86.12     ","3.028","5.813","Kyle Seager","572122","640455","Groundout","In play, out(s)","70.572    ","1417.166  ","-14.4     ","9.6       ","5 ","Kyle Seager grounds out, third baseman Ryon Healy to first baseman Yonder Alonso.  ","R ","L","L","SEA","OAK","X",5,4,1,2,2016,"7.32                  ","-2.63               ","-0.176","2.715               ","null","null","null",2,4,"bot","108.1100","152.9300","201645","2016-10-02T20:16:45Z","622194","427261","161002_131912","-10.30","-126.529            ","-0.37","11.66","29.99","-36.29","3.40","1.45","133","87.8","-19.34              ","86.39","1530.00","6.38",449293
"SL",243,"2016-10-02","80.09     ","2.928","5.639","Kyle Seager","572122","640455","Groundout","Ball","63.720    ","366.166   ","-.3       ","10.2      ","13","Kyle Seager grounds out, third baseman Ryon Healy to first baseman Yonder Alonso.  ","R ","L","L","SEA","OAK","B",5,4,0,0,2016,"1.94                  ","-1.01               ","-2.273","1.186               ","null","null","null",2,4,"bot","108.1100","152.9300","201542","2016-10-02T20:15:42Z","622194","427261","161002_131812","-12.52","-117.319            ","-2.94","2.66","26.37","-33.49","3.40","1.45","null","null","null","79.96","2092.00","6.25",449293
"FF",244,"2016-10-02","92.27     ","3.135","5.392","Kyle Seager","572122","640455","Groundout","Called Strike","122.569   ","2422.836  ","-35.8     ","6.0       ","7 ","Kyle Seager grounds out, third baseman Ryon Healy to first baseman Yonder Alonso.  ","R ","L","L","SEA","OAK","S",5,4,1,0,2016,"10.58                 ","6.72                ","-0.607","2.072               ","null","null","null",2,4,"bot","108.1100","152.9300","201603","2016-10-02T20:16:03Z","622194","427261","161002_131829","-13.48","-135.22             ","-4.96","19.03","37.39","-20.02","3.40","1.45","null","null","null","92.70","2051.00","6.84",449293
"FF",538,"2016-10-02","98.07     ","-0.975","6.277","Kyle Seager","572122","446099","Lineout","Ball","203.260   ","2087.718  ","21.3      ","3.2       ","12","Kyle Seager lines out sharply to right fielder Matt Olson.  ","R ","L","R","SEA","OAK","B",9,3,0,1,2016,"-3.99                 ","9.23                ","1.528","2.96                ","null","null","null",1,9,"bot","211.1600","84.7700","214007","2016-10-02T21:40:07Z","622194","427261","161002_144236","8.49","-143.686            ","-6.99","-8.17","39.47","-13.18","3.35","1.45","null","null","null","97.73","2390.00","6.22",449293
