"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FF",13,"2016-10-02","95.51     ","-0.29","5.83","Kris Bryant","592178","596112","Walk","Ball","202.495   ","2090.400  ","21.9      ","3.4       ","14","Kris Bryant walks.   Dexter Fowler to 2nd.  ","R ","R","R","CIN","CHC","B",0,0,0,2,2016,"-3.9                  ","9.38                ","1.73","1.99                ","null","null",451594,0,1,"top","0.0000","0.0000","191403","2016-10-02T19:14:03Z","571466","489985","161002_151504","6.95","-139.3              ","-8.11","-7.68","30.78","-13.63","3.34","1.52","null","null","null","95.04","2368.00","6.14",449284
"FF",18,"2016-10-02","92.68     ","-0.69","5.69","Kris Bryant","592178","596112","Walk","Ball","218.343   ","2035.392  ","28.5      ","4.7       ","14","Kris Bryant walks.   Dexter Fowler to 2nd.  ","R ","R","R","CIN","CHC","B",0,0,3,2,2016,"-6.31                 ","7.94                ","1.42","1.31                ","null","null",451594,0,1,"top","0.0000","0.0000","191601","2016-10-02T19:16:01Z","571466","489985","161002_151701","7.83","-134.54             ","-8.43","-11.71","25.81","-17.37","3.34","1.58","null","null","null","92.32","2298.00","6.17",449284
"FF",11,"2016-10-02","94.90     ","-0.39","5.87","Kris Bryant","592178","596112","Walk","Called Strike","203.980   ","1743.796  ","18.3      ","4.0       ","3 ","Kris Bryant walks.   Dexter Fowler to 2nd.  ","R ","R","R","CIN","CHC","S",0,0,0,0,2016,"-3.51                 ","7.84                ","0.56","3.35                ","null","null",451594,0,1,"top","0.0000","0.0000","191320","2016-10-02T19:13:20Z","571466","489985","161002_151421","3.81","-138.17             ","-3.75","-6.75","31.89","-17.00","3.38","1.62","null","null","null","94.16","2309.00","6.11",449284
"CU",12,"2016-10-02","85.31     ","-0.78","6.42","Kris Bryant","592178","596112","Walk","Called Strike","28.057    ","487.893   ","-3.6      ","9.4       ","2 ","Kris Bryant walks.   Dexter Fowler to 2nd.  ","R ","R","R","CIN","CHC","S",0,0,0,1,2016,"1.26                  ","-2.41               ","0.09","2.84                ","null","null",451594,0,1,"top","0.0000","0.0000","191341","2016-10-02T19:13:41Z","571466","489985","161002_151443","1.73","-124.54             ","-1.50","1.97","25.88","-35.87","3.34","1.52","null","null","null","84.13","2485.00","5.68",449284
"FF",15,"2016-10-02","93.99     ","-0.37","5.73","Kris Bryant","592178","596112","Walk","Ball In Dirt","210.973   ","1846.387  ","22.4      ","4.4       ","14","Kris Bryant walks.   Dexter Fowler to 2nd.  ","R ","R","R","CIN","CHC","B",0,0,1,2,2016,"-4.69                 ","7.77                ","0.86","0.5                 ","null","null",451594,0,1,"top","0.0000","0.0000","191441","2016-10-02T19:14:41Z","571466","489985","161002_151540","5.01","-136.95             ","-11.01","-8.97","28.18","-17.23","3.28","1.52","null","null","null","93.91","2326.00","6.25",449284
"FF",16,"2016-10-02","95.11     ","-0.63","5.85","Kris Bryant","592178","596112","Walk","Foul","220.595   ","1682.311  ","24.0      ","4.8       ","6 ","Kris Bryant walks.   Dexter Fowler to 2nd.  ","R ","R","R","CIN","CHC","S",0,0,2,2,2016,"-5.36                 ","6.22                ","0.57","2.66                ","null","null",451594,0,1,"top","0.0000","0.0000","191504","2016-10-02T19:15:04Z","571466","489985","161002_151606","5.20","-138.49             ","-5.09","-10.45","29.75","-19.98","3.41","1.62","null","null","null","94.46","2361.00","6.01",449284
"FF",17,"2016-10-02","94.16     ","-0.72","6.01","Kris Bryant","592178","596112","Walk","Ball","209.906   ","1914.156  ","27.1      ","4.1       ","11","Kris Bryant walks.   Dexter Fowler to 2nd.  ","R ","R","R","CIN","CHC","B",0,0,2,2,2016,"-4.7                  ","8.14                ","-0.97","3.57                ","null","null",451594,0,1,"top","0.0000","0.0000","191532","2016-10-02T19:15:32Z","571466","489985","161002_151633","0.99","-136.96             ","-3.57","-9.01","27.76","-16.51","3.38","1.55","null","null","null","93.58","2279.00","6.07",449284
"CU",185,"2016-10-02","83.03     ","-0.81","6.47","Kris Bryant","592178","596112","Single","Ball","80.404    ","555.759   ","-7.5      ","8.9       ","11","Kris Bryant singles on a line drive to left fielder Adam Duvall.   Dexter Fowler to 3rd.  ","R ","R","R","CIN","CHC","B",7,3,0,0,2016,"3.01                  ","-0.56               ","-1.07","3.02                ","null","null",451594,0,3,"top","66.0000","123.2400","200143","2016-10-02T20:01:43Z","571466","489985","161002_160249","-1.57","-121.52             ","-1.53","4.59","19.39","-32.95","3.41","1.71","null","null","null","82.92","2022.00","5.77",449284
"FF",187,"2016-10-02","93.93     ","-0.52","5.86","Kris Bryant","592178","596112","Single","In play, no out","218.119   ","2223.140  ","35.2      ","4.5       ","8 ","Kris Bryant singles on a line drive to left fielder Adam Duvall.   Dexter Fowler to 3rd.  ","R ","R","R","CIN","CHC","X",7,3,1,0,2016,"-6.84                 ","8.68                ","-0.13","2.06                ","null","null",451594,0,3,"top","66.0000","123.2400","200230","2016-10-02T20:02:30Z","571466","489985","161002_160329","3.45","-136.9              ","-7.36","-12.95","31.06","-15.67","3.41","1.62","227","83.7","20.73               ","93.69","2296.00","6.41",449284
"CH",290,"2016-10-02","85.38     ","-0.36","6.16","Kris Bryant","592178","596112","Strikeout","Swinging Strike","191.802   ","1081.430  ","3.7       ","6.2       ","14","Kris Bryant strikes out swinging.  ","R ","R","R","CIN","CHC","S",0,0,1,1,2016,"-1.19                 ","5.68                ","0.37","1.58                ",624585,575929,"null",2,4,"top","0.0000","0.0000","203038","2016-10-02T20:30:38Z","571466","489985","161002_163146","2.19","-123.95             ","-6.58","-1.89","21.14","-23.13","3.41","1.62","null","null","null","84.74","1284.00","5.92",449284
"CH",292,"2016-10-02","85.96     ","-0.3","6.07","Kris Bryant","592178","596112","Strikeout","Ball In Dirt","214.170   ","774.470   ","6.3       ","7.1       ","14","Kris Bryant strikes out swinging.  ","R ","R","R","CIN","CHC","B",0,0,2,2,2016,"-2.34                 ","3.39                ","1.1","0.34                ",624585,575929,"null",2,4,"top","0.0000","0.0000","203136","2016-10-02T20:31:36Z","571466","489985","161002_163240","4.22","-125.07             ","-8.87","-3.75","22.11","-26.65","3.33","1.53","null","null","null","85.50","1188.00","6.00",449284
"FF",288,"2016-10-02","94.82     ","-0.76","6.01","Kris Bryant","592178","596112","Strikeout","Ball","214.922   ","1791.885  ","28.2      ","4.6       ","11","Kris Bryant strikes out swinging.  ","R ","R","R","CIN","CHC","B",0,0,0,0,2016,"-5.07                 ","7.23                ","-2.15","3.47                ",624585,575929,"null",2,4,"top","0.0000","0.0000","202953","2016-10-02T20:29:53Z","571466","489985","161002_163059","-1.99","-137.89             ","-3.56","-9.75","31.04","-18.21","3.46","1.62","null","null","null","93.84","2366.00","5.98",449284
"FF",289,"2016-10-02","95.23     ","-0.37","5.82","Kris Bryant","592178","596112","Strikeout","Called Strike","205.402   ","2360.974  ","32.8      ","3.3       ","14","Kris Bryant strikes out swinging.  ","R ","R","R","CIN","CHC","S",0,0,1,0,2016,"-4.97                 ","10.43               ","0.74","2.41                ",624585,575929,"null",2,4,"top","0.0000","0.0000","203015","2016-10-02T20:30:15Z","571466","489985","161002_163123","4.81","-138.8              ","-7.20","-9.69","31.37","-11.77","3.43","1.66","null","null","null","95.03","2464.00","6.35",449284
"CH",291,"2016-10-02","85.47     ","-0.43","6.07","Kris Bryant","592178","596112","Strikeout","Ball In Dirt","197.947   ","1627.874  ","10.4      ","5.5       ","14","Kris Bryant strikes out swinging.  ","R ","R","R","CIN","CHC","B",0,0,1,2,2016,"-2.74                 ","8.42                ","0.21","-0.19               ",624585,575929,"null",2,4,"top","0.0000","0.0000","203103","2016-10-02T20:31:03Z","571466","489985","161002_163209","2.43","-124.07             ","-11.50","-4.29","24.05","-18.93","3.36","1.53","null","null","null","84.28","1182.00","5.87",449284
"CH",293,"2016-10-02","84.95     ","-0.43","6.23","Kris Bryant","592178","596112","Strikeout","Swinging Strike","201.444   ","1390.447  ","10.8      ","5.9       ","7 ","Kris Bryant strikes out swinging.  ","R ","R","R","CIN","CHC","S",0,0,3,2,2016,"-2.77                 ","7.02                ","-0.61","1.64                ",624585,575929,"null",2,4,"top","0.0000","0.0000","203208","2016-10-02T20:32:08Z","571466","489985","161002_163315","0.45","-124.14             ","-6.96","-4.35","23.83","-21.10","3.41","1.62","null","null","null","84.60","1170.00","6.02",449284
"CH",322,"2016-10-01","85.56     ","-2.26","5.66","Kris Bryant","592178","534947","Flyout","Ball In Dirt","223.023   ","1452.373  ","15.4      ","6.5       ","14","Kris Bryant flies out to center fielder Steve Selsky.  ","R ","R","R","CIN","CHC","B",8,1,0,1,2016,"-5.36                 ","5.7                 ","1.73","0.47                ","null",452657,451594,1,5,"top","154.8900","64.5200","214238","2016-10-01T21:42:38Z","541608","427206","161001_174403","11.52","-123.71             ","-8.09","-8.45","20.73","-23.12","3.44","1.63","null","null","null","85.59","1689.00","6.54",449269
